Classe::EPS402_47	EPS402;00047;2.0;2.0;0;robep;GymVert;Gr47
Classe::EPS402_48	EPS402;00048;2.0;2.0;0;pela;GymBleu;Gr48
Classe::EPS502_05	EPS502;00005;2.0;2.0;0;angm;Pisc;Gr47,Gr48,Gr55,Gr56
Classe::EPS502_06	EPS502;00006;2.0;2.0;0;prog;GymOra;Gr47,Gr48,Gr55,Gr56

MetaClasse::EPS5A	Cycle_unique2;EPS502_01;EPS502_02;EPS502_04;SPR5MULT_01;SPR5SOC_01;SPR5VOL_01
Classe::EPS502_01	EPS502;00001;2.0;2.0;0;angm;Pisc;Gr51,Gr52,Gr53,Gr54
Classe::EPS502_02	EPS502;00002;2.0;2.0;0;robep;GymOra;Gr51,Gr52,Gr53,Gr54
Classe::EPS502_04	EPS502;00004;2.0;2.0;0;augj;GymBleu;Gr51,Gr52,Gr53,Gr54
Classe::SPR5MULT_01	SPR5MULT;00001;2.0;4.0;0;desms;GymOra3;Gr51,Gr52,Gr53,Gr54
Classe::SPR5SOC_01	SPR5SOC;00001;2.0;2.0;0;prog;GymVert;Gr51,Gr52,Gr53,Gr54
Classe::SPR5VOL_01	SPR5VOL;00001;2.0;4.0;0;pela;GymOra2;Gr51,Gr52,Gr53,Gr54

MetaClasse::EPS5C_47	Cycle_unique2;EPS402_17;EPS502_07;EPS502_08;EPS502_09
Classe::EPS402_17	EPS402;00017;1.0;1.0;0;robep;GymOra;Gr47
Classe::EPS502_07	EPS502;00007;1.0;1.0;0;angm;Pisc;Gr47,Gr57,Gr58,Gr59
Classe::EPS502_08	EPS502;00008;1.0;1.0;0;augj;GymVert;Gr47,Gr57,Gr58,Gr59
Classe::EPS502_09	EPS502;00009;1.0;1.0;0;desms;GymBleu;Gr47,Gr57,Gr58,Gr59

MetaClasse::EPS5C_48	Cycle_unique2;EPS402_18;EPS502_17;EPS502_18;EPS502_19
Classe::EPS402_18	EPS402;00018;1.0;1.0;0;pela;GymOra;Gr48
Classe::EPS502_17	EPS502;00017;1.0;1.0;0;angm;Pisc;Gr48,Gr57,Gr58,Gr59
Classe::EPS502_18	EPS502;00018;1.0;1.0;0;augj;GymVert;Gr48,Gr57,Gr58,Gr59
Classe::EPS502_19	EPS502;00019;1.0;1.0;0;desms;GymBleu;Gr48,Gr57,Gr58,Gr59

MetaClasse::EPSP5	Cycle_unique2;EPS500_01;EPS500_02;EPS500_03;EPS500_04
Classe::EPS500_01	EPS500;00001;4.0;4.0;0;brije;Pisc;P501,P502,P503,P504
